university,age,is_commuter,commute_time,attendance,gpa,did_move,means_of_transport,think_commuting_negative_on_studies,no_study_time,higher_gpa_if_closer,no_hobbies,stress,no_sleep,no_friends,no_family,loneliness
dams torino,20,1,1.0,0.67,24.0,0,"A piedi,Treno,Auto",0.67,0.56,0.78,0.67,0.78,0.33,0.0,0.0,0.44
iulm,18,0,0.0,1.0,26.5,1,,-1.0,0.44,0.0,0.22,0.22,0.22,0.22,0.67,0.89
iulm,20,1,0.5,1.0,28.0,0,"A piedi,Metro,Treno,Auto",0.11,0.78,0.22,1.0,0.89,0.89,0.67,0.67,1.0
polimi,20,0,0.25,1.0,28.2,0,,-1.0,0.67,0.89,0.0,0.44,0.89,0.22,0.78,0.11
polimi,20,1,0.75,1.0,20.0,0,"Pullman,Metro,Treno",0.67,0.67,0.78,0.78,0.33,0.67,0.44,0.22,0.78
polimi,19,1,0.75,0.67,18.0,0,"Pullman,Metro,Tram,Treno",0.67,0.56,0.78,0.22,0.78,0.0,0.44,0.0,0.56
bocconi,20,1,0.75,0.33,28.0,0,"Pullman,Metro,Tram",0.56,0.56,0.89,0.78,1.0,0.56,0.56,0.33,0.67
upo,20,1,0.5,0.67,24.0,0,"Pullman,Auto",0.22,0.67,0.22,0.0,0.22,0.67,0.22,0.78,0.0
cattolica,19,0,0.5,1.0,-1,0,,-1.0,0.11,0.11,0.78,0.44,0.11,0.22,0.11,0.44
unimi,18,1,0.75,0.67,-1,0,"Pullman,Metro,Treno",0.56,0.78,0.67,0.78,0.56,0.56,0.67,0.56,0.33
bicocca,20,1,0.5,0.0,26.0,0,"Treno,Auto",0.33,0.33,0.22,0.22,0.33,0.56,0.33,0.33,0.44
unimi,18,1,0.75,1.0,-1,0,"A piedi,Pullman,Metro",0.56,0.67,0.78,0.67,0.33,0.67,0.33,0.33,0.0
unimi,21,1,0.75,1.0,21.0,0,"A piedi,Pullman,Metro,Treno",0.44,0.44,0.67,0.56,0.22,0.22,0.22,0.11,0.0
cattolica,23,1,0.75,1.0,25.0,0,"Metro,Treno,Auto",0.56,0.89,0.78,0.78,0.44,1.0,0.11,1.0,0.0
polimi,19,1,0.75,0.33,-1,0,Auto,0.44,0.78,0.56,0.56,0.22,0.56,0.56,0.56,0.56
